year;attack_on;attacks
2008;Government;22
2008;Military;2
2009;Government;17
2009;Private;5
2011;Private;11
2013;Private;10
2013;Government;5
2014;Military;8
2014;Private;19
2014;Government;15
2015;Military;7
2015;Private;15
2016;Private;11
2016;Military;6
2007;Military;5
2009;Military;6
2010;Government;9
2011;Military;3
2012;Private;5
2013;Military;5
2015;Government;12
2011;Government;13
2001;Government;6
2003;Military;1
2006;Government;6
2006;Military;2
2007;Government;11
2008;Private;3
2010;Private;3
2010;Military;3
2012;Government;5
2007;Private;2
2005;Government;4
2000;Government;1
2001;Military;1
2016;Government;3
2004;Private;1
2004;Government;1
2003;Government;2
